Address,Amount (HSK)
0x4d2660C16974cd5c7Ae8752AE466B8ceF730Dfb0,2100.0
0x4B79f5753aED176e5d42B19D4c85A162B1a83a27,2001.0
0x09Ff5a5730a6DD125Eeeb7cC8339C51ff0257687,1500.0
0x3C4A794213C2f300eB79383693DBf0429C680360,1336.06054902
0x5e7BdaB1D9ee80f5A56D843a1Ceea8da026006a4,1207.0
0x08285BbBd8F79A7328cfd193B959F679D742F1a7,1199.89895385
0xf75D1FC8E809544f08857E548dbF220cd233F856,1040.0
0x48Ddde20873F8e9fc9804C0E7ea6797D976519ff,1020.0
0x044D845fa98b5487B244Db0e6b0F8C643Db4F7D6,1015.0
0x45192cf9384b0A9dD3a9769E17C08338E12590EC,1000.0
0x62a81cDc3ED3d0e1b91a2218D7669f79C6D6c01f,930.0
0xF6a6F7ad9e6cf86c0b2C9acb070247ef41149fB6,876.90421519
0x3F6e473d9457452952026C6a77eA79A469D8bdd3,501.0
0x1fee3717141Ea4D1D1b47BF9333A4D11e0E0B744,500.0
0x795263A7794D2a2CfA805882F2811924e0ed5821,500.0
0xa4ED8945378d6311b5Fa9039DC9a3a91c4ECC520,460.2
0xf8c69c81A936f9a7948A2a4ba2582F77Bb080123,351.0
0x1b2897E3cC0Bf432dC691f79e891bc3b720Fb240,259.877112
0x8aaDE964ACFB445Fdbc561a4C459D3a70BF15E1A,232.0
0x459aB017556eDbA7ff6AdECE92550146D2CD57fa,198.64672283
0x48938672Dd35CcD03912DB4bd94396C9c8C75D6c,119.84287
0x3b1A9267Ab7E6E2EB59f086Baedd2Ba8E6C01228,105.0
0x43c7686D601225ff5Bcc20C00a12D317203718E6,104.11
0xc82052Ff4905d6A06133258101cc3cF0Cc0ED8bE,101.0
0xD6152379cC2802b8e6a27cddbeE9912188085450,100.19053374
0xA7551d664Ae5578e4B6090bEeEBd4B4e7E5D1a56,100.0
0x871f16aC15D7F64fFd898a2A7225580dcBD32e52,100.0
0x6FF7C77D9B0188b3bF2c49Fee7C4a98A1d5480D3,59.0
0xd6df6E97DE55829456C35736FC7AE29836a68AB9,19.999
0x259c1EC355E1C81bF8bF5EC5AdBEb3d60203F592,10.30738297
0x3F98916b107bc910cb64914A73d9b9806741833a,10.0
0x01111adacd9b199EF8B87A515de91949130ded5E,9.399
0xE638271161389EAac70fb4BbAb982E9C72B9ca40,6.0
0x483B9c66611A43612Dd23Bd21553BaF1B98F71df,3.0
0x7d55507f7D96b373706C0131FFFbc4Ffdcb3B6f6,2.6
0x9270b244b7401E0ef4F0af9a6a24ba8183f1dB32,2.1
0x14D21eA9Ef06B3485156d2a678D40796b71ccd4E,1.1
0x311FAFa40780bE6Ef34e6e621633ccEbaa8bb5A6,1.0
